timestamp,action,strike,expiry,delta,dte,premium,pnl_pct,price_seen,vix,earnings,iv_rank,ex_div,status
2026-05-07T16:32:21.783976,WAIT_FOR_ENTRY,,,,,0,0.0,0.0,0.0,85,70.8,17.52,,HOLD
2026-05-07T16:38:01.465951,WAIT_FOR_ENTRY,,,,,0,0.0,0.0,0.0,85,70.8,17.52,,HOLD
2026-05-07T16:48:51.274377,WAIT_FOR_ENTRY,,,,,0,0.0,0.0,0.0,85,70.8,17.46,,HOLD
2026-05-07T19:24:55.907410,WAIT_FOR_ENTRY,,,,,0,0.0,0.0,0.0,85,70.84,17.28,,HOLD
2026-05-07T19:44:12.225612,WAIT_FOR_ENTRY,,,,,0,0.0,0.0,0.0,85,71.07,17.23,,HOLD
2026-05-07T19:52:31.946142,WAIT_FOR_ENTRY,,,,,0,0.0,0.0,0.0,85,71.14,17.19,,HOLD
2026-05-07T20:05:31.316422,WAIT_FOR_ENTRY,,,,,0,0.0,0.0,0.0,85,71.05,17.18,,HOLD
2026-05-07T20:07:52.280910,WAIT_FOR_ENTRY,,,,,0,0.0,0.0,0.0,85,70.97,17.14,,HOLD
2026-05-07T20:18:15.963685,SELL_NEW_PUT,,,,0.2881,0,0.0,0.0,0.0,85,71.0,17.17,Strike is missing (NoneType),ABORTED
2026-05-07T20:20:07.946036,SELL_NEW_PUT,,,,0.289,0,0.0,0.0,0.0,85,71.03,17.17,DTE is missing (NoneType),ABORTED
2026-05-07T20:21:43.356653,SELL_NEW_PUT,,,,0.2935,0,0.0,0.0,0.0,85,71.05,17.17,,OPENED
2026-05-07T20:27:14.240393,HOLD_PUT_POSITION,280.0,,,0.293,0,0.0,2.8,0.0,85,71.21,17.12,,HOLD
2026-05-07T20:35:14.945130,HOLD_PUT_POSITION,280.0,,,0.2921,0,0.0,2.8,0.0,85,71.24,17.15,,HOLD
2026-05-07T20:37:37.203424,HOLD_PUT_POSITION,280.0,,,0.2903,0,0.0,2.8,0.0,85,71.18,17.12,,HOLD
2026-05-07T21:01:22.154718,HOLD_PUT_POSITION,,,,,0,0.0,0.0,0.0,,,,,HOLD
2026-05-07T22:00:45.970128,HOLD_PUT_POSITION,,,,,0,0.0,0.0,0.0,,,,,HOLD
2026-05-08T01:00:17.498453,HOLD_PUT_POSITION,,,,,0,0.0,0.0,0.0,,,,,HOLD
2026-05-08T10:34:45.952374,HOLD_PUT_POSITION,,,,,0,0.0,0.0,0.0,84,70.98,17.08,,HOLD
2026-05-08T14:45:16.390950,HOLD_PUT_POSITION,280.0,,,,0,0.0,2.8,0.0,90,,17.13,,HOLD
2026-05-08T15:41:52.050561,HOLD_PUT_POSITION,280.0,,,0.2902,0,0.0,2.8,0.0,90,,17.17,,HOLD
2026-05-08T16:39:32.773338,HOLD_PUT_POSITION,280.0,,,0.2903,0,0.0,2.8,240.0,90,,17.11,,HOLD
